STATION,NAME,DATE,TAVG,TMAX,TMIN,TMID
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/1/1937,6.7,,,6.7
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/2/1937,4.3,,,4.3
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/3/1937,8.7,,,8.7
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/4/1937,3.7,,,3.7
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/5/1937,1,,,1
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/6/1937,2.9,,,2.9
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/7/1937,5.4,,,5.4
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/8/1937,13.8,,,13.8
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/9/1937,19.6,,,19.6
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/10/1937,7.2,,,7.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/11/1937,3.2,,,3.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/12/1937,8.5,,,8.5
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/13/1937,6.7,,,6.7
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/14/1937,14.2,,,14.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/15/1937,15.3,,,15.3
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/16/1937,5.6,,,5.6
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/17/1937,2.2,,,2.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/18/1937,13.6,,,13.6
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/19/1937,6.2,,,6.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/20/1937,1.6,,,1.6
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/21/1937,7.9,,,7.9
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/22/1937,17.3,,,17.3
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/23/1937,4.3,,,4.3
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/24/1937,2.6,,,2.6
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/25/1937,11.9,,,11.9
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/26/1937,6.9,,,6.9
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/27/1937,1.6,,,1.6
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/28/1937,2.4,,,2.4
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/29/1937,5.7,,,5.7
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/30/1937,4.8,,,4.8
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/31/1937,4.6,,,4.6
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/1/1937,7.2,,,7.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/2/1937,-1.3,,,-1.3
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/3/1937,-0.9,,,-0.9
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/4/1937,-1.2,,,-1.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/5/1937,-0.2,,,-0.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/6/1937,0.8,,,0.8
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/7/1937,5.3,,,5.3
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/8/1937,6.2,,,6.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/9/1937,13.9,,,13.9
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/10/1937,2.3,,,2.3
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/11/1937,-1.9,,,-1.9
