"Year","peak_date","day_of_year"
1921,1921-03-20,79
1922,1922-04-07,97
1923,1923-04-09,99
1924,1924-04-13,104
1925,1925-03-27,86
1926,1926-04-11,101
1927,1927-03-20,79
1928,1928-04-08,99
1929,1929-03-31,90
1930,1930-04-01,91
1931,1931-04-11,101
1932,1932-04-15,106
1933,1933-04-09,99
1934,1934-04-15,105
1935,1935-04-01,91
1936,1936-04-07,98
1937,1937-04-14,104
1938,1938-03-25,84
1939,1939-03-30,89
1940,1940-04-13,104
1941,1941-04-12,102
1942,1942-04-05,95
1943,1943-04-04,94
1944,1944-04-09,100
1945,1945-03-20,79
1946,1946-03-23,82
1947,1947-04-12,102
1948,1948-03-28,88
1949,1949-03-29,88
1950,1950-04-09,99
1951,1951-04-06,96
1952,1952-04-09,100
1953,1953-03-27,86
1954,1954-04-06,96
1955,1955-04-02,92
1956,1956-04-06,97
1957,1957-04-08,98
1958,1958-04-18,108
1959,1959-04-06,96
1960,1960-04-14,105
1961,1961-04-02,92
1962,1962-04-07,97
1963,1963-04-03,93
1964,1964-04-11,102
1965,1965-04-15,105
1966,1966-04-05,95
1967,1967-04-06,96
1968,1968-03-30,90
1969,1969-04-09,99
1970,1970-04-16,106
1971,1971-04-08,98
1972,1972-04-11,102
1973,1973-04-11,101
1974,1974-04-03,93
1975,1975-04-03,93
1976,1976-03-23,83
1977,1977-03-26,85
1978,1978-04-12,102
1979,1979-04-02,92
1980,1980-04-06,97
1981,1981-04-03,93
1982,1982-04-07,97
1983,1983-04-07,97
1984,1984-04-03,94
1985,1985-04-07,97
1986,1986-04-02,92
1987,1987-03-28,87
1988,1988-03-31,91
1989,1989-03-29,88
1990,1990-03-15,74
1991,1991-03-29,88
1992,1992-04-07,98
1993,1993-04-11,101
1994,1994-04-05,95
1995,1995-04-02,92
1996,1996-04-04,95
1997,1997-03-26,85
1998,1998-03-27,86
1999,1999-04-05,95
2000,2000-03-17,77
2001,2001-04-06,96
2002,2002-04-02,92
2003,2003-04-02,92
2004,2004-03-31,91
2005,2005-04-09,99
2006,2006-03-30,89
2007,2007-04-01,91
2008,2008-03-29,89
2009,2009-04-01,91
2010,2010-03-31,90
2011,2011-03-29,88
2012,2012-03-20,80
2013,2013-04-09,99
2014,2014-04-10,100
2015,2015-04-10,100
2016,2016-03-25,85
2017,2017-03-25,84
2018,2018-04-05,95
2019,2019-04-01,91
2020,2020-03-20,80
2021,2021-03-28,87
